,id,author_last,author_first,author,gender,title,year,genre,filename,sentence
687,14605,Maxwell,W. B. (William Babington),"Maxwell, W. B. (William Babington)",male,The Devil's Garden,1920,novel,PG14605_raw.txt,"The Devil playeth in a man's mind like a wanton child in a garden, bringing his filth to choke each open path, uprooting the tender plants, and trampling the buds that should have blown for the Master."
688,47086,Blackmore,R. D. (Richard Doddridge),"Blackmore, R. D. (Richard Doddridge)",male,Cradock Nowell,1866,novel,PG47086_raw.txt,"Upon the Christmas morning the parish flocked to church, and the church was dressed so beautifully that every one was amazed."
689,5950,Scott,Walter,"Scott, Walter",male,The Fortunes of Nigel,1822,historical novel,PG5950_raw.txt,"The long-continued hostilities which had for centuries separated the south and the north divisions of the Island of Britain, had been happily terminated by the succession of the pacific James I. to the English Crown."
690,21894,Stratemeyer,Edward,"Stratemeyer, Edward",male,The Rover Boys at Colby Hall,1917,novel,PG21894_raw.txt,"""For gracious sake! what's that racket?"" exclaimed Dick Rover, as he threw down the newspaper he was reading and leaped to his feet."
691,15422,Melville,Herman,"Melville, Herman",male,Israel Potter,1855,novel,PG15422_raw.txt,"The traveller who at the present day is content to travel in the good old Asiatic style, neither rushed along by a locomotive, nor dragged by a stage-coach; who is willing to enjoy hospitalities at far-scattered farmhouses, instead of paying his bill at an inn; who is not to be frightened by any amount of loneliness, or to be deterred by the roughest roads or the highest hills; such a traveller in the eastern part of Berkshire, Massachusetts, will find ample food for poetic reflection in the singular scenery of a country, which, owing to the ruggedness of the soil and its lying out of the track of all public conveyances, remains almost as unknown to the general tourist as the interior of Bohemia."
692,32897,Chester,George Randolph,"Chester, George Randolph",male,Young Wallingford,1910,novel,PG32897_raw.txt,"""A natural again!"" exulted Jonathan Reuben Wix, as the dice bounded from his plump hand and came to rest upon the billiard-table in Leiniger's Select Cafe, with a five and a deuce showing."
693,8101,Fuller,Henry Blake,"Fuller, Henry Blake",male,Bertram Cope's Year,1919,novel,PG8101_raw.txt,What is a man's best age?
694,34724,Davis,Owen,"Davis, Owen",male,Lola,1915,science fiction,PG34724_raw.txt,Doctor Martin Barnhelm had for over twenty years practised medicine in New York.
695,14563,Cooper,James A.,"Cooper, James A.",male,Sheila of Big Wreck Cove,1921,novel,PG14563_raw.txt,"Seated on this sunshiny morning in his old armchair of bent hickory, between his knees a cane on the head of which his gnarled hands rested, Captain Ira Ball was the true retired mariner of the old school."
696,29909,Barr,Amelia E.,"Barr, Amelia E.",female,A Singer from the Sea,1893,novel,PG29909_raw.txt,"'Tell me, my old friend, tell me why You sit and softly laugh by yourself.'"
697,26526,Hornung,E. W. (Ernest William),"Hornung, E. W. (Ernest William)",male,Stingaree,1905,novel,PG26526_raw.txt,"Miss Bouverie ceased on the high note, as abruptly as string that snaps beneath the bow, and revolved with the music-stool, to catch but her echoes in the empty room."
698,27232,Davis,Richard Harding,"Davis, Richard Harding",male,The White Mice,1909,novel,PG27232_raw.txt,Once upon a time a lion dropped his paw upon a mouse.
699,42822,Peple,Edward,"Peple, Edward",male,Semiramis,1907,novel,PG42822_raw.txt,"King Ninus sat his war horse, gazing sadly out across the walls of Zariaspa."
700,33432,Bangs,John Kendrick,"Bangs, John Kendrick",male,Mr. Munchausen,1901,adventure novel,PG33432_raw.txt,"My luck _was_ wonderful--even for one who has been so singularly fortunate as I. I took three tons of speckled beauties with one cast of an ordinary horse whip in the Blue Hills, and with nothing but a silken line and a minnow hook landed upon the deck of my steam yacht a whale of most tremendous proportions; I shot game of every kind in great abundance and in my golf there was none to whom I could not give with ease seven holes in every nine and beat him out."
